pl_name,hostname,pl_rade,pl_orbsmax,st_teff,st_lum,teq_recalc,st_lum_linear
WASP-140 b,WASP-140,14.23540549,0.0323,5300.0,-0.29437,1305.7229416080838,0.5077266971946433
K2-18 b,K2-18,2.37,0.1429,3457.0,-1.59688,293.29771634731674,0.025299969638710982
HAT-P-35 b,HAT-P-35,14.930388,0.04978,6096.0,0.38307,1553.405540396989,2.4158501921103253
Kepler-208 d,Kepler-208,1.2,0.103,6092.0,0.30912,1034.9185790841482,2.0376050110008768
Kepler-1129 c,Kepler-1129,2.73,0.35367,5831.0,-0.0274,460.1460356056847,0.9388581918730973
HD 12235 b,HD 12235,3.23,0.054,5986.0,0.57468,1665.3975292282223,3.755605790537126
Kepler-364 b,Kepler-364,1.55,0.178,6108.0,0.35128,806.593642777415,2.245329074377952
Kepler-524 b,Kepler-524,1.91,0.07955,6014.0,0.43947,1269.3816149330569,2.7508695750887493
Kepler-221 e,Kepler-221,2.63,0.13,5243.0,-0.40429,610.942896757647,0.39419399126187915
HD 87816 b,HD 87816,12.7,1.618,4989.0,1.65514,566.6834604793175,45.200162900188616
Kepler-1189 b,Kepler-1189,1.77,0.0467,6012.0,0.04086,1317.0472493103027,1.0986516189043734
Kepler-401 d,Kepler-401,2.27,0.66886,6184.0,0.56611,470.87397047325464,3.6822222676338234
GJ 422 b,GJ 422,3.33,0.111,3323.0,-1.95861,270.2282859494945,0.010999931989351935
24 Boo b,24 Boo,13.9,0.194,4816.0,1.87691,1859.3940245509252,75.31994600329986
WASP-164 b,WASP-164,12.643752,0.02818,5806.0,-0.06732,1593.1046363300036,0.8564065890010198
