pl_name,hostname,pl_rade,pl_orbsmax,st_teff,st_lum,teq_recalc,st_lum_linear,habitable
Kepler-49 e,Kepler-49,1.56,0.116,4252.0,-1.13077,425.7192626767833,0.0739997069733888,0
Kepler-140 b,Kepler-140,1.61,0.045,6077.0,0.25061,1513.8785621431955,1.7807788951806018,0
Kepler-122 d,Kepler-122,2.2,0.155,6050.0,0.26993,824.8242994255987,1.8617870278636373,0
HD 27894 c,HD 27894,8.24,0.198,4875.0,-0.449,482.4609868043061,0.3556313185689853,0
Kepler-268 c,Kepler-268,3.38,0.391,6081.0,0.31808,533.9202801910625,2.080079816677324,0
Kepler-171 c,Kepler-171,2.56,0.098,5642.0,-0.07917,848.4754054970706,0.8333549127640782,0
HD 154345 b,HD 154345,13.7,4.21,5468.0,-0.21934,119.41771254975882,0.6034759957502553,0
Kepler-133 c,Kepler-133,2.84,0.204,5736.0,0.4105,779.5692717319524,2.5733567644261104,0
Kepler-185 b,Kepler-185,1.17,0.026,5208.0,-0.50448,1289.5498103768357,0.3129824601994362,0
HD 68988 c,HD 68988,12.2,13.2,5883.41,0.22184,86.93963855563706,1.6666330891112542,0
Kepler-346 b,Kepler-346,2.66,0.071,6033.0,-0.15256,955.5988568762248,0.7037849897300726,0
Kepler-718 b,Kepler-718,16.56,0.0322,6191.0,0.13394,1673.4080739802491,1.3612566049243386,0
Kepler-720 b,Kepler-720,8.41,0.0539,5618.0,0.03222,1219.8471428703567,1.077010655375921,0
Kepler-1241 b,Kepler-1241,2.63,0.1336,5261.0,-0.32438,631.0250019601897,0.4738272133859603,0
Kepler-495 b,Kepler-495,5.23,0.0427,5346.0,-0.2375,1173.4264096309723,0.5787619883491206,0
Kepler-281 b,Kepler-281,2.82,0.117,5723.0,0.14638,884.1925779403455,1.4008124726708149,0
Kepler-288 b,Kepler-288,1.67,0.065,5918.0,0.05605,1126.1613483856856,1.1377582675446862,0
Kepler-394 b,Kepler-394,1.6,0.083,6402.0,0.05347,995.1149474027744,1.1310192585926548,0
Kepler-189 b,Kepler-189,1.21,0.088,5235.0,-0.44774,724.216574395091,0.356664594673732,0
HD 168443 b,HD 168443,12.6,0.292,5491.0,0.38246,641.1628787869789,2.4124593266435093,0
Kepler-148 b,Kepler-148,1.8,0.028,5272.0,-0.38342,1332.326850164406,0.4135994951734414,0
Kepler-178 c,Kepler-178,2.88,0.142,5676.0,-0.20778,654.5692866649471,0.6197549440409705,0
Kepler-686 b,Kepler-686,12.15,0.0258,5649.0,0.10792,1841.6832699356848,1.282094390388088,0
Kepler-468 b,Kepler-468,13.34,0.2213,5498.0,-0.28606,501.2323453370286,0.517535326863561,0
